"kmeans_cluster_label","total","percen"
0,2472,79.6905222437137
1,1,0.0322372662798195
2,1,0.0322372662798195
3,26,0.838168923275306
4,1,0.0322372662798195
5,1,0.0322372662798195
6,1,0.0322372662798195
7,1,0.0322372662798195
8,1,0.0322372662798195
9,1,0.0322372662798195
10,1,0.0322372662798195
11,3,0.0967117988394584
12,1,0.0322372662798195
13,8,0.257898130238556
14,1,0.0322372662798195
15,1,0.0322372662798195
16,1,0.0322372662798195
17,1,0.0322372662798195
18,1,0.0322372662798195
19,1,0.0322372662798195
20,28,0.902643455834945
21,1,0.0322372662798195
22,1,0.0322372662798195
23,1,0.0322372662798195
24,1,0.0322372662798195
25,2,0.0644745325596389
26,2,0.0644745325596389
27,1,0.0322372662798195
28,1,0.0322372662798195
29,2,0.0644745325596389
30,1,0.0322372662798195
31,1,0.0322372662798195
32,12,0.386847195357834
33,7,0.225660863958736
34,243,7.83365570599613
35,1,0.0322372662798195
36,2,0.0644745325596389
37,4,0.128949065119278
38,1,0.0322372662798195
39,1,0.0322372662798195
40,2,0.0644745325596389
41,4,0.128949065119278
42,14,0.451321727917473
43,1,0.0322372662798195
44,2,0.0644745325596389
45,2,0.0644745325596389
46,1,0.0322372662798195
47,7,0.225660863958736
48,42,1.35396518375242
49,1,0.0322372662798195
50,4,0.128949065119278
51,1,0.0322372662798195
52,4,0.128949065119278
53,2,0.0644745325596389
54,96,3.09477756286267
55,6,0.193423597678917
56,1,0.0322372662798195
57,6,0.193423597678917
58,6,0.193423597678917
59,1,0.0322372662798195
60,1,0.0322372662798195
61,1,0.0322372662798195
62,34,1.09606705351386
63,1,0.0322372662798195
64,1,0.0322372662798195
65,1,0.0322372662798195
66,2,0.0644745325596389
67,1,0.0322372662798195
68,1,0.0322372662798195
69,1,0.0322372662798195
70,15,0.483558994197292
71,2,0.0644745325596389
